Plate,Well,F0,Fmax,DFF
M0021,A01,1722,2981,0.731126597
M0021,A02,1509,4857,2.218687873
M0021,A03,2576,5443,1.112965839
M0021,A04,1954,1707,-0.126407369
M0021,A05,109,820,6.52293578
M0021,A06,615,2036,2.310569106
M0021,A07,262,1027,2.919847328
M0021,A08,1411,2093,0.483345145
M0021,A09,695,5042,6.254676259
M0021,A10,26,216,7.307692308
M0021,A11,1322,4396,2.32526475
M0021,A12,1043,2496,1.393096836
M0021,B01,1809,3210,0.774461028
M0021,B02,422,1708,3.047393365
M0021,B03,259,3389,12.08494208
M0021,B04,184,1744,8.47826087
M0021,B05,103,652,5.330097087
M0021,B06,1234,2341,0.897082658
M0021,B07,414,834,1.014492754
M0021,B08,1214,1890,0.556836903
M0021,B09,157,170,0.082802548
M0021,B10,59,202,2.423728814
M0021,B11,2004,3934,0.963073852
M0021,B12,1283,2190,0.706936867
M0021,C01,678,1254,0.849557522
M0021,C02,1930,2603,0.348704663
M0021,C03,144,795,4.520833333
M0021,C04,146,1005,5.883561644
M0021,C05,1018,3377,2.317288802
M0021,C06,575,1236,1.149565217
M0021,C07,267,1360,4.093632959
M0021,C08,98,873,7.908163265
M0021,C09,104,444,3.269230769
M0021,C10,253,832,2.288537549
M0021,C11,3622,6244,0.723909442
M0021,C12,1313,4432,2.375476009
M0021,D01,430,1725,3.011627907
M0021,D02,12,13,0.083333333
M0021,D03,121,659,4.446280992
M0021,D04,334,1595,3.775449102
M0021,D05,688,1380,1.005813953
M0021,D06,285,1634,4.733333333
M0021,D07,3321,3972,0.196025294
M0021,D08,92,550,4.97826087
M0021,D09,1638,1912,0.167277167
M0021,D10,280,1670,4.964285714
M0021,D11,2500,3697,0.4788
M0021,D12,1231,3372,1.739236393
M0021,E01,829,2100,1.533172497
M0021,E02,3838,5574,0.452318916
M0021,E03,1098,4228,2.850637523
M0021,E04,486,2486,4.115226337
M0021,E05,562,766,0.362989324
M0021,E06,89,301,2.382022472
M0021,E07,1500,3819,1.546
M0021,E08,3069,3480,0.133919844
M0021,E09,437,1632,2.734553776
M0021,E10,178,829,3.657303371
M0021,E11,4109,5100,0.241177902
M0021,E12,2790,5296,0.898207885
M0021,F01,835,4602,4.511377246
M0021,F02,1957,3479,0.777721002
M0021,F03,2068,2895,0.399903288
M0021,F04,56,380,5.785714286
M0021,F05,849,2615,2.080094229
M0021,F06,74,374,4.054054054
M0021,F07,320,1840,4.75
M0021,F08,57,943,15.54385965
M0021,F09,24,106,3.416666667
M0021,F10,954,2229,1.336477987
M0021,F11,944,5615,4.94809322
M0021,F12,6250,8182,0.30912
M0021,G01,1039,2583,1.486044273
M0021,G02,1168,3810,2.261986301
M0021,G03,145,1362,8.393103448
M0021,G04,661,3381,4.114977307
M0021,G05,21,39,0.857142857
M0021,G06,393,1775,3.51653944
M0021,G07,503,2833,4.632206759
M0021,G08,13,17,0.307692308
M0021,G09,170,1412,7.305882353
M0021,G10,903,1985,1.198228128
M0021,G11,713,6229,7.736325386
M0021,G12,240,3149,12.12083333
M0021,H01,5095,8170,0.603532875
M0021,H02,2665,4722,0.771857411
M0021,H03,1994,3555,0.782848546
M0021,H04,758,4065,4.362796834
M0021,H05,803,1596,0.9875467
M0021,H06,164,2165,12.20121951
M0021,H07,85,440,4.176470588
M0021,H08,319,1830,4.736677116
M0021,H09,235,2105,7.957446809
M0021,H10,260,1965,6.557692308
M0021,H11,4194,9728,1.319504053
M0021,H12,4068,6975,0.71460177
M0022,A01,2890,4216,0.458823529
M0022,A02,1354,6756,3.989660266
M0022,A03,3505,5929,0.691583452
M0022,A04,1797,7196,3.004451864
M0022,A05,276,3015,9.923913043
M0022,A06,1888,4257,1.254766949
M0022,A07,5387,8700,0.614999072
M0022,A08,273,4263,14.61538462
M0022,A09,325,4125,11.69230769
M0022,A10,3642,7375,1.024986271
M0022,A11,8122,11442,0.408766314
M0022,A12,416,4922,10.83173077
M0022,B01,3362,4825,0.435157644
M0022,B02,1435,6321,3.404878049
M0022,B03,3672,3785,0.03077342
M0022,B04,2951,3889,0.317858353
M0022,B05,1162,2678,1.30464716
M0022,B06,1097,2956,1.694621696
M0022,B07,1102,1649,0.496370236
M0022,B08,2995,4622,0.543238731
M0022,B09,293,2728,8.310580205
M0022,B10,732,2403,2.282786885
M0022,B11,2390,4793,1.005439331
M0022,B12,977,4420,3.524053224
M0022,C01,2299,3265,0.420182688
M0022,C02,923,4131,3.475622969
M0022,C03,368,1641,3.45923913
M0022,C04,3113,3673,0.179890781
M0022,C05,137,1430,9.437956204
M0022,C06,454,2848,5.273127753
M0022,C07,924,2083,1.254329004
M0022,C08,1857,3811,1.052234787
M0022,C09,284,3546,11.48591549
M0022,C10,354,1877,4.302259887
M0022,C11,562,2444,3.348754448
M0022,C12,405,1772,3.375308642
M0022,D01,1969,6203,2.150330117
M0022,D02,1756,3865,1.201025057
M0022,D03,3220,5719,0.776086957
M0022,D04,530,2314,3.366037736
M0022,D05,315,1836,4.828571429
M0022,D06,484,1957,3.04338843
M0022,D07,687,4985,6.256186317
M0022,D08,3206,4573,0.426388022
M0022,D09,89,1065,10.96629213
M0022,D10,534,2494,3.670411985
M0022,D11,240,2397,8.9875
M0022,D12,1176,4524,2.846938776
M0022,E01,1516,6813,3.494063325
M0022,E02,5782,7470,0.291940505
M0022,E03,259,1931,6.455598456
M0022,E04,311,2721,7.749196141
M0022,E05,2905,3726,0.282616179
M0022,E06,1838,4569,1.485854189
M0022,E07,1342,2122,0.581222057
M0022,E08,1600,4385,1.740625
M0022,E09,462,2007,3.344155844
M0022,E10,407,436,0.071253071
M0022,E11,937,3763,3.016008538
M0022,E12,1982,5269,1.658425832
M0022,F01,635,5978,8.414173228
M0022,F02,5504,7707,0.40025436
M0022,F03,3333,4073,0.222022202
M0022,F04,516,3097,5.001937984
M0022,F05,1258,3481,1.76709062
M0022,F06,1231,5448,3.425670187
M0022,F07,449,2345,4.222717149
M0022,F08,2326,5593,1.40455718
M0022,F09,230,2915,11.67391304
M0022,F10,326,2272,5.969325153
M0022,F11,95,1552,15.33684211
M0022,F12,2364,5801,1.453891709
M0022,G01,400,4415,10.0375
M0022,G02,9068,12405,0.367997353
M0022,G03,227,2296,9.114537445
M0022,G04,1715,2973,0.733527697
M0022,G05,1096,3666,2.344890511
M0022,G06,2659,4071,0.531026702
M0022,G07,1427,4471,2.133146461
